timestep,delta_dim,delta_magnitude,delta_sign,clean_success,clean_done_step,perturbed_success,perturbed_done_step,success_changed,done_step_delay,eef_pos_l2_final,eef_pos_l2_max,sim_state_l2_final,sim_state_l2_max,score
50,1,0.2,1,True,28,True,27,False,-1,0.020323140546679497,0.020437389612197876,4.410284519195557,4.410284519195557,0.6454023480415345
50,1,0.2,-1,True,28,False,,True,20,0.022220414131879807,0.022220414131879807,1.9597599506378174,6.197525501251221,120.84195669144393
50,2,0.05,1,True,28,True,27,False,-1,0.005023310426622629,0.0053299181163311005,5.7369842529296875,5.7369842529296875,0.6269976064562798
50,2,0.05,-1,True,28,True,29,False,1,0.004004110582172871,0.005316590890288353,1.2658034563064575,9.440336227416992,1.9971995316445827
50,2,0.1,1,True,28,True,27,False,-1,0.010221602395176888,0.010648990049958229,5.000835418701172,5.043765068054199,0.6108664073050022
50,2,0.1,-1,True,28,True,29,False,1,0.00801153015345335,0.010630975477397442,2.773190498352051,6.446167469024658,1.7509265016764402
50,2,0.2,1,True,28,True,29,False,1,0.01901828497648239,0.020483946427702904,3.4040422439575195,5.04307746887207,1.709147211164236
50,2,0.2,-1,True,28,True,32,False,4,0.014098664745688438,0.021274864673614502,3.0720624923706055,6.552456378936768,4.867994284629821
50,3,0.05,1,True,28,True,28,False,0,0.0005264417268335819,0.003029017010703683,1.5425496101379395,4.097181797027588,0.44000834980979564
50,3,0.05,-1,True,28,True,32,False,4,0.002321498468518257,0.00310488510876894,3.4465882778167725,7.294553756713867,4.7605042267590765
50,3,0.1,1,True,28,True,26,False,-2,0.0013189393794164062,0.006468457169830799,3.9864766597747803,3.9864766597747803,0.463332237675786
50,3,0.1,-1,True,28,True,33,False,5,0.001412218902260065,0.00623281067237258,1.3982493877410889,10.154535293579102,6.077781636081636
50,3,0.2,1,True,28,True,30,False,2,0.0053251078352332115,0.012255304493010044,2.2960031032562256,5.055182933807373,2.628071338310838
50,3,0.2,-1,True,28,True,28,False,0,0.0035240717697888613,0.01214128453284502,3.4129598140716553,10.484809875488281,1.1698938328772783
50,4,0.05,1,True,28,True,26,False,-2,0.002456947695463896,0.004319729283452034,2.307825803756714,2.5228495597839355,0.2954822488129139
50,4,0.05,-1,True,28,True,31,False,3,0.0019286100286990404,0.004339419770985842,3.272142171859741,5.1879682540893555,3.562191023118794
50,4,0.1,1,True,28,True,25,False,-3,0.005429470911622047,0.008542885072529316,6.540164947509766,6.668268203735352,0.7522556710988284
50,4,0.1,-1,True,28,True,30,False,2,0.002747111953794956,0.008612004108726978,3.858358144760132,5.523240566253662,2.638444097712636
50,4,0.2,1,True,28,True,26,False,-2,0.011872394941747189,0.01676292158663273,3.109893560409546,4.141019821166992,0.5817311979830265
50,4,0.2,-1,True,28,True,32,False,4,0.004640943370759487,0.016962477937340736,1.038386583328247,6.075041770935059,4.777128956466913
50,5,0.05,1,True,28,True,28,False,0,0.0002475756627973169,0.0006395622040145099,0.5209752321243286,3.040236234664917,0.3104192455066368
50,5,0.05,-1,True,28,True,30,False,2,0.0013850340619683266,0.0013850340619683266,4.013317584991455,6.163325309753418,2.630182871595025
50,5,0.1,1,True,28,True,27,False,-1,0.0005359467468224466,0.0015951977111399174,5.232407093048096,5.232407093048096,0.5391926864162088
50,5,0.1,-1,True,28,True,31,False,3,0.001749121700413525,0.001749121700413525,1.7431647777557373,6.025193214416504,3.6200105384457855
50,5,0.2,1,True,28,True,27,False,-1,0.000686250627040863,0.0029333855491131544,5.053482532501221,5.053482532501221,0.5346821087412537
50,5,0.2,-1,True,28,True,35,False,7,0.0015280944062396884,0.0023169477935880423,1.0590375661849976,9.954671859741211,8.018636663910002
55,0,0.05,1,True,23,True,26,False,3,0.0047292448580265045,0.0047292448580265045,0.6391636729240417,5.2710747718811035,3.5743999257683754
55,0,0.05,-1,True,23,True,21,False,-2,0.004457097500562668,0.004457097500562668,2.8849198818206787,2.8849198818206787,0.33306296318769457
55,0,0.1,1,True,23,True,33,False,10,0.009505119174718857,0.009505119174718857,0.9162070155143738,4.159686088562012,10.511019800603389
55,0,0.1,-1,True,23,True,20,False,-3,0.008825593627989292,0.008825593627989292,5.306471347808838,5.306471347808838,0.6189030710607767
55,0,0.2,1,True,23,False,,True,20,0.017942026257514954,0.017942026257514954,1.4085469245910645,6.388211727142334,120.81824143528938
55,0,0.2,-1,True,23,True,21,False,-2,0.018324395641684532,0.018324395641684532,7.371311187744141,7.371311187744141,0.9203750751912594
55,1,0.05,1,True,23,True,21,False,-2,0.005132235120981932,0.005132235120981932,3.6804139614105225,3.6804139614105225,0.41936374735087156
55,1,0.05,-1,True,23,True,26,False,3,0.006068287882953882,0.006068287882953882,1.873301386833191,6.533318519592285,3.7140147307887674
55,1,0.1,1,True,23,True,21,False,-2,0.010278109461069107,0.010278109461069107,3.8359107971191406,3.8359107971191406,0.48637217432260516
55,1,0.1,-1,True,23,True,33,False,10,0.011603442020714283,0.011603442020714283,1.7345398664474487,8.661478042602539,10.982182224467397
55,1,0.2,1,True,23,True,22,False,-1,0.020424209535121918,0.020530816167593002,3.971287965774536,3.971287965774536,0.6024369582533837
55,1,0.2,-1,True,23,False,,True,20,0.022472748532891273,0.022472748532891273,1.5978964567184448,4.178149700164795,120.64254245534539
55,2,0.05,1,True,23,True,22,False,-1,0.005178013816475868,0.00543682835996151,6.410821437835693,6.410821437835693,0.6954504273831845
55,2,0.05,-1,True,23,True,24,False,1,0.004050406627357006,0.005424631759524345,1.6155815124511719,6.2279486656188965,1.677041184157133
55,2,0.1,1,True,23,True,22,False,-1,0.010438222438097,0.010862532071769238,5.122750759124756,5.122750759124756,0.6209003966301679
55,2,0.1,-1,True,23,True,24,False,1,0.008352980948984623,0.0108431875705719,4.463962078094482,7.206015586853027,1.8290334343910217
55,2,0.2,1,True,23,True,24,False,1,0.020239004865288734,0.021694159135222435,3.405431032180786,5.043110370635986,1.7212526284158232
55,2,0.2,-1,True,23,True,27,False,4,0.01455726008862257,0.021688958629965782,3.1320478916168213,7.470975399017334,4.963987126201391
55,3,0.05,1,True,23,True,22,False,-1,0.0004929834976792336,0.002699988428503275,4.199644565582275,4.199644565582275,0.4469643408432603
55,3,0.05,-1,True,23,True,27,False,4,0.0020753806456923485,0.0030480052810162306,3.1847171783447266,6.543863773345947,4.684866430144757
55,3,0.1,1,True,23,True,22,False,-1,0.0006447864579968154,0.005457371473312378,4.702579021453857,5.0443925857543945,0.5590129733085633
55,3,0.1,-1,True,23,True,26,False,3,0.0010424767388030887,0.005826068576425314,1.393005609512329,9.357781410217285,3.9940388267859817
55,3,0.2,1,True,23,True,23,False,0,0.004351591691374779,0.010370759293437004,2.1011438369750977,5.052731990814209,0.6089807920157909
55,3,0.2,-1,True,23,True,24,False,1,0.0017786151729524136,0.011181894689798355,3.0182247161865234,7.238142967224121,1.8356332436203957
55,4,0.05,1,True,23,True,21,False,-2,0.0026161952409893274,0.0046828980557620525,6.997817516326904,6.997817516326904,0.746610732190311
55,4,0.05,-1,True,23,True,22,False,-1,0.0017406531842425466,0.00457013351842761,3.7065300941467285,3.7065300941467285,0.416354344598949
55,4,0.1,1,True,23,True,20,False,-3,0.006004794035106897,0.009332234039902687,4.827293395996094,6.587618350982666,0.7520841754972936
55,4,0.1,-1,True,23,True,23,False,0,0.0019452585838735104,0.00898388959467411,3.1964006423950195,5.0113043785095215,0.5909693337976932
55,4,0.2,1,True,23,True,21,False,-2,0.013418068177998066,0.018353324383497238,4.928718566894531,4.928718566894531,0.6764051005244256
55,4,0.2,-1,True,23,True,25,False,2,0.004940464626997709,0.01805645227432251,2.9387588500976562,6.631875991821289,2.843752121925354
55,5,0.05,1,True,23,True,22,False,-1,0.00019980830256827176,0.0005848633009009063,4.01985502243042,4.01985502243042,0.4078341352520511
55,5,0.05,-1,True,23,True,25,False,2,0.0007602736004628241,0.0007602736004628241,0.9096711874008179,10.752427101135254,3.082845446118154
55,5,0.1,1,True,23,True,21,False,-2,0.0004477572219911963,0.0014706333167850971,3.8259146213531494,3.8259146213531494,0.39729779530316595
55,5,0.1,-1,True,23,True,26,False,3,0.001766758388839662,0.001766758388839662,3.2861647605895996,5.971736907958984,3.614841274684295
55,5,0.2,1,True,23,True,21,False,-2,0.0007257607649080455,0.002771026222035289,4.334626197814941,4.334626197814941,0.46117288200184703
55,5,0.2,-1,True,23,True,29,False,6,0.0015669061103835702,0.002456291113048792,1.3678621053695679,8.293185234069824,6.85388143453747
60,0,0.05,1,True,18,True,21,False,3,0.004610324744135141,0.004610324744135141,0.6806889176368713,4.659821033477783,3.5120853507891296
60,0,0.05,-1,True,18,True,17,False,-1,0.004278469365090132,0.004278469365090132,4.689878463745117,4.689878463745117,0.5117725400254131
60,0,0.1,1,True,18,True,24,False,6,0.008844730444252491,0.008844730444252491,0.8585980534553528,4.468909740447998,6.535338278487325
60,0,0.1,-1,True,18,True,16,False,-2,0.008415587246418,0.008415587246418,6.609684944152832,6.609684944152832,0.7451243668794633
60,0,0.2,1,True,18,False,,True,20,0.016492966562509537,0.016492966562509537,1.350330114364624,3.3441970348358154,120.49934936910867
60,0,0.2,-1,True,18,True,15,False,-3,0.016711128875613213,0.016711128875613213,10.09812068939209,10.09812068939209,1.176923357695341
60,1,0.05,1,True,18,True,17,False,-1,0.004904822912067175,0.005089544225484133,3.8341214656829834,3.8341214656829834,0.4343075888231397
60,1,0.05,-1,True,18,True,24,False,6,0.005752456374466419,0.005752456374466419,2.3877272605895996,3.5812411308288574,6.41564867682755
60,1,0.1,1,True,18,True,16,False,-2,0.010148958303034306,0.010148958303034306,3.9459691047668457,3.9459691047668457,0.49608649350702766
60,1,0.1,-1,True,18,True,28,False,10,0.011573235504329205,0.011573235504329205,1.5939861536026,5.706674098968506,10.686399764940143
60,1,0.2,1,True,18,True,18,False,0,0.020450977608561516,0.020450977608561516,3.2093613147735596,3.9386022090911865,0.5983699969947338
60,1,0.2,-1,True,18,False,,True,20,0.022414352744817734,0.022414352744817734,1.843660593032837,8.243792533874512,121.04852278083563
60,2,0.05,1,True,18,True,17,False,-1,0.0052689677104353905,0.005534859374165535,6.568981170654297,6.568981170654297,0.7122467108070851
60,2,0.05,-1,True,18,True,20,False,2,0.004017986357212067,0.005520334932953119,1.7344690561294556,9.463054656982422,3.0015088150277736
60,2,0.1,1,True,18,True,17,False,-1,0.010666264221072197,0.01106075756251812,4.539301872253418,5.042771816253662,0.6148847572505475
60,2,0.1,-1,True,18,True,20,False,2,0.008310538716614246,0.011049436405301094,3.0652642250061035,6.754721164703369,2.785966480523348
60,2,0.2,1,True,18,True,19,False,1,0.02067403495311737,0.022108912467956543,3.406709909439087,5.043155193328857,1.725404644012451
60,2,0.2,-1,True,18,True,22,False,4,0.014328986406326294,0.022043436765670776,3.1843044757843018,8.019882202148438,5.022422587871551
60,3,0.05,1,True,18,True,18,False,0,0.001729127368889749,0.0025796638801693916,1.130903720855713,5.233679294586182,0.5491645682603121
60,3,0.05,-1,True,18,True,22,False,4,0.0019279471598565578,0.0028698949608951807,1.0057493448257446,9.062503814697266,4.934949331078679
60,3,0.1,1,True,18,True,17,False,-1,0.0018385370494797826,0.005033355206251144,4.924014091491699,5.4793596267700195,0.5982695147395134
60,3,0.1,-1,True,18,True,21,False,3,0.0010850777616724372,0.005624900106340647,4.329065322875977,6.626592636108398,3.7189082646742464
60,3,0.2,1,True,18,True,18,False,0,0.006063594948500395,0.009449003264307976,1.6241765022277832,5.051976203918457,0.5996876530349254
60,3,0.2,-1,True,18,True,19,False,1,0.0025129595305770636,0.010986313223838806,2.681389808654785,11.327580451965332,2.2426211774349216
60,4,0.05,1,True,18,True,16,False,-2,0.00342459580861032,0.005072240252047777,5.886338710784912,5.886338710784912,0.639356273598969
60,4,0.05,-1,True,18,True,19,False,1,0.002214033855125308,0.00494721531867981,0.5257501602172852,5.221415996551514,1.5716137528419494
60,4,0.1,1,True,18,True,14,False,-4,0.007912754081189632,0.010118940845131874,6.703914165496826,6.703914165496826,0.7715808250010014
60,4,0.1,-1,True,18,True,20,False,2,0.0039142342284321785,0.009842483326792717,4.179901599884033,6.44671630859375,2.7430964641273023
60,4,0.2,1,True,18,True,15,False,-3,0.016200121492147446,0.019990500062704086,8.373519897460938,8.373519897460938,1.0372569903731348
60,4,0.2,-1,True,18,True,21,False,3,0.007237899117171764,0.019748862832784653,2.7165400981903076,5.077883720397949,3.7052770003676416
60,5,0.05,1,True,18,True,16,False,-2,0.00025705742882564664,0.0007721161236986518,2.8450472354888916,2.8450472354888916,0.2922258847858757
60,5,0.05,-1,True,18,True,20,False,2,0.0014899468515068293,0.0014899468515068293,1.9081697463989258,7.257821559906006,2.740681624505669
60,5,0.1,1,True,18,True,17,False,-1,0.0005908320308662951,0.001639068010263145,4.234067440032959,4.234067440032959,0.43979742410592737
60,5,0.1,-1,True,18,True,21,False,3,0.0007316652336157858,0.0013770649675279856,0.8923680782318115,3.89810848236084,3.4035814979113637
60,5,0.2,1,True,18,True,16,False,-2,0.0008411352755501866,0.0028875938151031733,7.719176292419434,7.719176292419434,0.8007935673929751
60,5,0.2,-1,True,18,True,27,False,9,0.0013833147240802646,0.0026621422730386257,0.6959865093231201,4.248753070831299,9.451496729813517
